Date,StartTime,EndTime,Facility,Service,Subject,AccountName
7-Oct-18,3:44PM,5:30PM,Community Room 3,Rooms and Auditoriums - Other,Montessori Preschool Tansley Woods FWS 2018/19,FWS Montessori Preschool
7-Oct-18,8:00AM,8:50AM,Gym Single 2,Fitness,Walk/Tone/Stretch 19+,
7-Oct-18,8:30AM,9:30AM,Community Room 1,Yoga,Yoga for Golf 55+,
7-Oct-18,9:30AM,11:30AM,Community Room 5,Writing and Public Speaking,Short Story Writing Workshop 55+,
7-Oct-18,9:00AM,3:30PM,Community Room 4,Rooms and Auditoriums - Other,Community Living Burlington Tansley Woods FWS 2018/19,FWS Community Living Burlington
7-Oct-18,9:15AM,10:05AM,Gym Single 2,Fitness,Walk/Tone/Stretch 19+,
7-Oct-18,10:00AM,11:00AM,Community Room 1,Yoga,Chair Yoga 55+,
7-Oct-18,10:30AM,11:30AM,Community Room 6,Creative Kids,Do-Re-Mi 1-4 Parent and Tot,
7-Oct-18,11:00AM,12:00PM,Gym Single 2,Zumba,Zumba Toning 19+,
7-Oct-18,12:30PM,3:30PM,Gym Double 1/2,Recreational Pickleball,Pickleball 55+ Level 2.5-3.5,
7-Oct-18,12:30PM,3:30PM,Gym Double 1/2,Pickleball,Pickleball - 2.5-3.5 Recreational Play 19+,
7-Oct-18,3:00PM,4:30PM,Community Room 6,General Interest,Guitar 55+,
7-Oct-18,6:00PM,7:30PM,Community Room 1,Special Use,2018 Engineering For Kids,Sportball Tansley Woods FWS 2018/19
7-Oct-18,6:30PM,8:00PM,Community Room 4,Rooms and Auditoriums - Other,Cindy Chen Art Tansley Woods FWS 2018/19,FWS Cindy Chen Art
7-Oct-18,7:00PM,10:00PM,Community Room 5,No Socks for Ivan,No Socks For Ivan Grade 6-12,
7-Oct-18,7:15PM,9:15PM,Community Room 3,Meeting,SVG S,
7-Oct-18,7:15PM,9:15PM,Community Room 3,Meeting,SVG S,
7-Oct-18,7:00PM,10:00PM,Community Room 5,No Socks for Ivan,No Socks For Ivan Grade 6-12,
7-Oct-18,7:15PM,9:15PM,Community Room 3,Meeting,SVG S,
7-Oct-18,7:15PM,9:15PM,Community Room 3,Meeting,SVG S,
7-Oct-18,7:15PM,9:15PM,Community Room 3,Meeting,SVG S,
7-Oct-18,7:15PM,9:15PM,Community Room 3,Meeting,SVG S,
13-Oct-18,7:15AM,9:15AM,Gym Single 1,Basketball,Saturday Men's Basketball Tansley Woods FWS 2018/19,FWS Saturday Men's Basketball
13-Oct-18,8:30AM,9:20AM,Gym Single 2,Fitness,Cardio Sculpt 19+,
13-Oct-18,9:45AM,12:30PM,Gym Single 2,Gyms - Other,Sportball Tansley Woods FWS 2018/19,FWS Sportball
13-Oct-18,10:00AM,12:30PM,Community Room 2,Meeting,Burlington Aquatic Devilrays - TW FWS 2018/19,FWS Burlington Aquatic Devilrays
13-Oct-18,9:00AM,11:30AM,Community Room 3,Fitness Class,Paterson's Karate Works Tansley Woods FWS 2018/19,FWS Paterson's Karate Works
13-Oct-18,9:00AM,1:00PM,Community Room 6,Dance Class,Bella Moon Studios - Fall 2018 Saturdays,FWS Bella Moon Studios
13-Oct-18,9:30AM,12:00PM,Community Room 1,Active and Social,Dash and Splash (4-12yrs),
13-Oct-18,12:30PM,3:30PM,Community Room 5,Swimming,Dunk & Dive 13-21,
13-Oct-18,1:30PM,4:30PM,Community Room 4,Social,Evans Birthday ,Jordan Family
13-Oct-18,1:30PM,4:30PM,Community Room 2,Meeting,FWS Redleaf Cultural Integration,FWS Redleaf Cultural Integration
13-Oct-18,2:30PM,4:00PM,Community Room 1,Meeting,FWS Redleaf Cultural Integration - Haber TW 2018 2019,FWS Redleaf Cultural Integration
13-Oct-18,4:00PM,6:00PM,Community Room 5,Meeting,"P&R Aquatics, New Staff Check-In",Parks & Recreation Aquatics COB
14-Oct-18,8:30AM,12:30PM,Community Room 2,Meeting,FWS Starting Point Church,FWS Starting Point Church
14-Oct-18,8:30AM,12:30PM,Community Room 6,Meeting,FWS Starting Point Church,FWS Starting Point Church
14-Oct-18,8:30AM,12:30PM,Community Room 3,Meeting,FWS Starting Point Church,FWS Starting Point Church
14-Oct-18,8:30AM,12:30PM,Community Room 5,Meeting,FWS Starting Point Church,FWS Starting Point Church
14-Oct-18,10:00AM,12:00PM,Community Room 1,Meeting,FWS Starting Point Church,FWS Starting Point Church
14-Oct-18,10:30AM,12:00PM,Community Room 4,Social,"Moshtagh, Cinthya",
14-Oct-18,10:00AM,11:30AM,Gym Double 1/2,Basketball,Leone Basketball Tansley Woods FWS 2018/19,FWS Leone Basketball
14-Oct-18,12:30PM,3:30PM,Gym Double 1/2,Volleyball,Volleygirls Tansley Woods FWS 2018/19,FWS VolleyGirls
14-Oct-18,3:30PM,5:30PM,Community Room 1,Meeting,"Selman, Diane","Selman, Diane"
14-Oct-18,3:30PM,5:00PM,Gym Single 2,Recreational Pickleball,Pickleball 19+ Level 1.0-2.0,
14-Oct-18,3:30PM,5:00PM,Gym Single 2,Pickleball,Pickleball - 1.0-2.0 Recreational Play 19+,
14-Oct-18,3:30PM,5:30PM,Gym Single 1,Active Kids,Family Play Fit 5 months-8 years,
14-Oct-18,5:00PM,6:30PM,Gym Single 2,Recreational Pickleball,Pickleball 19+ Level 2.5-3.5,
14-Oct-18,5:00PM,6:30PM,Gym Single 2,Pickleball,Pickleball - 2.5-3.5 Recreational Play 19+,
14-Oct-18,7:30PM,9:00PM,Gym Single 2,Basketball,2018 Damani Basketball,
15-Oct-18,7:30AM,5:30PM,Community Room 3,Rooms and Auditoriums - Other,Montessori Preschool Tansley Woods FWS 2018/19,FWS Montessori Preschool
15-Oct-18,8:00AM,8:50AM,Gym Single 2,Fitness,Walk/Tone/Stretch 19+,
15-Oct-18,9:15AM,10:05AM,Gym Single 2,Fitness,Walk Tone Stretch 19+,
15-Oct-18,10:00AM,12:00PM,Community Room 1,Art,Drawing - Introduction 55+,
15-Oct-18,9:00AM,3:30PM,Community Room 4,Rooms and Auditoriums - Other,Community Living Burlington Tansley Woods FWS 2018/19,FWS Community Living Burlington
15-Oct-18,10:00AM,12:30PM,Community Room 6,Preschool,Get Ready to Jump 2-3.5  ,
15-Oct-18,10:30AM,11:20AM,Gym Single 2,Fitness,Zumba 19+,
15-Oct-18,12:30PM,2:30PM,Community Room 1,Art,Watercolour - Level One 55+,
15-Oct-18,1:00PM,3:30PM,Community Room 6,Choir,Gospel Singers Choir 55+,
15-Oct-18,1:00PM,3:00PM,Gym Single 2,Pickleball,Pickleball - Learn to Play 19+,
15-Oct-18,12:30PM,3:00PM,Community Room 5,Games and Cards,Bridge Duplicate 55+,
15-Oct-18,4:00PM,5:00PM,Gym Single 1,Gyms - Other,Kidsplay Sports with Coach David Tansley Woods FWS 2018/19,FWS Kidsplay Sports with Coach David
15-Oct-18,5:00PM,6:00PM,Gym Double 1/2,Gyms - Other,Kidsplay Sports with Coach David Tansley Woods FWS 2018/19,FWS Kidsplay Sports with Coach David
15-Oct-18,6:00PM,7:00PM,Gym Single 1,Gyms - Other,Kidsplay Sports with Coach David Tansley Woods FWS 2018/19,FWS Kidsplay Sports with Coach David
